Date,Product,Quantity,Price,Store
2023-02-17,Google Pixel,4,14.95,Store B
2023-03-20,OnePlus,10,16.89,Store A
2023-02-11,iPhone,6,7.17,Store A
2023-01-27,Google Pixel,5,7.52,Store B
2023-01-28,Google Pixel,11,19.07,Store A
2023-02-15,Google Pixel,9,17.19,Store A
2023-02-02,iPhone,14,18.43,Store A
2023-01-13,Samsung Galaxy,9,17.43,Store C
2023-01-09,Samsung Galaxy,15,12.05,Store B
2023-03-04,OnePlus,16,17.9,Store C
2023-01-25,iPhone,18,8.69,Store C
2023-02-18,Google Pixel,20,13.15,Store B
2023-03-19,iPhone,17,9.73,Store C
2023-03-17,iPhone,16,15.77,Store B
2023-03-12,Google Pixel,9,10.28,Store A
2023-02-11,iPhone,6,15.17,Store A
2023-01-27,Samsung Galaxy,12,17.41,Store C
2023-03-30,iPhone,2,8.48,Store A
2023-01-18,OnePlus,1,18.99,Store B
2023-03-01,iPhone,9,19.57,Store B
2023-01-08,Google Pixel,10,15.22,Store A
2023-03-25,iPhone,7,19.42,Store A
2023-03-11,Samsung Galaxy,2,5.34,Store A
2023-03-07,Google Pixel,17,17.18,Store C
2023-01-08,OnePlus,16,13.97,Store A
2023-02-27,Samsung Galaxy,1,8.43,Store B
2023-01-17,OnePlus,15,8.77,Store C
2023-01-22,iPhone,10,7.84,Store A
2023-03-15,Samsung Galaxy,12,18.61,Store A
2023-03-24,Google Pixel,2,15.99,Store B
2023-03-24,OnePlus,9,7.31,Store A
2023-02-24,iPhone,10,13.66,Store C
2023-03-19,OnePlus,12,5.37,Store C
2023-02-11,OnePlus,14,19.04,Store A
2023-03-24,Google Pixel,13,10.24,Store C
2023-02-17,iPhone,13,19.12,Store B
2023-01-03,OnePlus,15,9.7,Store B
2023-01-21,Samsung Galaxy,10,13.39,Store B
2023-03-04,Google Pixel,15,6.03,Store C
2023-01-27,Samsung Galaxy,10,15.81,Store A
2023-03-02,Samsung Galaxy,17,12.27,Store B
2023-01-10,iPhone,9,16.51,Store A
2023-02-02,Samsung Galaxy,20,13.73,Store B
2023-01-07,Samsung Galaxy,9,12.0,Store B
2023-01-07,Samsung Galaxy,6,6.32,Store A
2023-03-07,Samsung Galaxy,14,15.83,Store C
2023-02-17,OnePlus,3,11.25,Store B
2023-02-24,Samsung Galaxy,17,11.44,Store A
2023-01-14,iPhone,6,15.93,Store B
2023-03-24,OnePlus,15,6.51,Store B
2023-03-24,Google Pixel,11,10.03,Store B
2023-01-04,Google Pixel,6,7.63,Store A
2023-02-19,Samsung Galaxy,11,19.88,Store A
2023-01-16,Google Pixel,2,19.33,Store B
2023-01-07,OnePlus,10,9.79,Store C
2023-01-31,Google Pixel,3,12.24,Store B
2023-01-27,iPhone,2,8.16,Store B
2023-03-27,OnePlus,11,16.78,Store C
2023-03-10,OnePlus,16,19.61,Store A
2023-01-21,OnePlus,17,17.26,Store B
2023-01-06,Samsung Galaxy,3,9.66,Store C
2023-02-08,OnePlus,5,10.58,Store A
